video_url,thumbnail_url,youtube_title,views_count,posting_time
https://youtu.be/watch?v=5-h-Td7ScFA,https://i.ytimg.com/vi/5-h-Td7ScFA/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCSttelE0cmE39AyWm5aBAsE9aUTw,REPORTED SPEECH - MOST Important Questions || Class-10th,48288,2023-02-22
https://youtu.be/watch?v=Q2tChfJPJ2I,https://i.ytimg.com/vi/Q2tChfJPJ2I/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCJwwEH2coi9TyvlE603C5iO1JXLw,POPULATION in One Shot - From Zero to Hero || Class 9th,36777,2023-02-22
https://youtu.be/watch?v=ZdyGE7nwItI,https://i.ytimg.com/vi/ZdyGE7nwItI/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCM7u3qTv_slPazhEhxOm-p9WWVHw,FOR ANNE GREGORY - MOST Important Questions || Class-10th,15072,2023-02-21
https://youtu.be/watch?v=Q3TjSP8zxec,https://i.ytimg.com/vi/Q3TjSP8zxec/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCl_izmlG6gs1AVpfsI1CdUC3cDcg,IF I WERE YOU + A HOUSE IS NOT A HOME in One Shot - From Zero to Hero || Class 9th,37548,2023-02-21
https://youtu.be/watch?v=32d-4jFB8QM,https://i.ytimg.com/vi/32d-4jFB8QM/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCepwehQnBaQcTbjuC9NTWj5YM7Ew,NATURAL VEGETATION in One Shot - From Zero to Hero || Class 9th,26298,2023-02-21
https://youtu.be/watch?v=9_u4xsh-2eg,https://i.ytimg.com/vi/9_u4xsh-2eg/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLDT5yvyumt21OFkIgM8O-f6NXVR1Q,THE BOOK THAT SAVED EARTH || Hindi Summary in 30 Minutes || Class 10th,65642,2023-02-21
https://youtu.be/watch?v=9XZVFyy2jpU,https://i.ytimg.com/vi/9XZVFyy2jpU/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCVCnvHK41pHT4qOw2ijOS7kGBo0A,DEMOCRATIC RIGHTS in One Shot - From Zero to Hero || Class 9th,44612,2023-02-21
https://youtu.be/watch?v=TpKrjb2fNN4,https://i.ytimg.com/vi/TpKrjb2fNN4/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLA2wVulY_JHgp_yEAEMb_0xiBf0lQ,FOG  - MOST Important Questions || Class-10th,12885,2023-02-21
https://youtu.be/watch?v=DOuWHj_kZVc,https://i.ytimg.com/vi/DOuWHj_kZVc/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLBmgn0fKVG5aRiovyh4Mio2OsQs-g,A SLUMBER DID MY SPIRIT SEAL in One Shot - From Zero to Hero || Class 9th,19957,2023-02-24
https://youtu.be/watch?v=-nnNhzhV9QI,https://i.ytimg.com/vi/-nnNhzhV9QI/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCqBYOsRsWgFTjUaRvkjvSatBqEeg,PASTORALISTS IN THE MODERN WORLD in One Shot - From Zero to Hero || Class 9th,76960,2023-02-24
https://youtu.be/watch?v=_fImK5teeBo,https://i.ytimg.com/vi/_fImK5teeBo/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLAqrnPU8U4NpnQmorfojZgEX9vpIA,THE BOOK THAT SAVED EARTH - Most Important Questions || Class-10th,25641,2023-02-24
https://youtu.be/watch?v=XW_PRHcHpsk,https://i.ytimg.com/vi/XW_PRHcHpsk/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLDjnwvlaUcuAf7i1159zeQzDFibKA,THE PROPOSAL || Hindi Summary in 30 Minutes || Class 10th,47467,2023-02-24
https://youtu.be/watch?v=33hoxZTMheU,https://i.ytimg.com/vi/33hoxZTMheU/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLBn42jnA_nnLlmcojmBLTKxkGG_Zg,KATHMANDU + THE LAST LEAF in One Shot - From Zero to Hero || Class 9th,35281,2023-02-24
https://youtu.be/watch?v=nKB_IcmgHJY,https://i.ytimg.com/vi/nKB_IcmgHJY/hqdefault.jpg?sqp=-oaymwEiCKgBEF5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCvSWUMjMTrt9b8TOBBH68EgyqckA,THE PROPOSAL - MOST Important Questions || Class-10th,23070,2023-02-24
